Distance entre avions : 7.0 
Nombre de simulations : 100000 
Prob IS: 1.65216838949e-06 ; Error : 3.35028998109e-07 ; mu : -5.15789473684 
Prob IS: 1.39724480723e-06 ; Error : 2.15827389186e-07 ; mu : -6.63157894737 
Prob IS: 1.38196504187e-06 ; Error : 1.6880776357e-07 ; mu : -5.15789473684 
Prob IS: 1.37390615142e-06 ; Error : 3.37692349137e-07 ; mu : -7.0 
Prob IS: 1.34436229216e-06 ; Error : 1.8144383772e-07 ; mu : -5.52631578947 
Prob IS: 1.57899405297e-06 ; Error : 3.99248118434e-07 ; mu : -5.89473684211 
Prob IS: 1.56076947478e-06 ; Error : 3.84515029278e-07 ; mu : -7.0 
Prob IS: 1.06817896578e-06 ; Error : 1.78514179642e-07 ; mu : -7.0 
Prob IS: 1.17847016179e-06 ; Error : 1.37317323033e-07 ; mu : -6.26315789474 
Prob IS: 1.59108873543e-06 ; Error : 3.93689157226e-07 ; mu : -6.26315789474 
Prob IS: 1.51294205688e-06 ; Error : 4.24604072441e-07 ; mu : -6.63157894737 
Prob IS: 1.16537713013e-06 ; Error : 1.42348051902e-07 ; mu : -6.26315789474 
Prob IS: 1.18373637062e-06 ; Error : 1.53849891916e-07 ; mu : -6.26315789474 
Prob IS: 1.22728457519e-06 ; Error : 2.15070765311e-07 ; mu : -7.0 
Prob IS: 1.25397916304e-06 ; Error : 2.61499033599e-07 ; mu : -2.94736842105 
Prob IS: 1.74005378663e-06 ; Error : 4.15698967783e-07 ; mu : -5.89473684211 
Prob IS: 1.44417896074e-06 ; Error : 3.0805574876e-07 ; mu : -5.52631578947 
Prob IS: 1.74951785128e-06 ; Error : 4.58107881063e-07 ; mu : -3.31578947368 
Prob IS: 1.18370473541e-06 ; Error : 2.21078426274e-07 ; mu : -7.0 
Prob IS: 2.47797184953e-06 ; Error : 9.86869439457e-07 ; mu : -4.78947368421 
Prob IS: 1.33846601409e-06 ; Error : 2.70065331752e-07 ; mu : -5.89473684211 
Prob IS: 1.35347215976e-06 ; Error : 3.35135905899e-07 ; mu : -7.0 
Prob IS: 1.46029719707e-06 ; Error : 2.69237161451e-07 ; mu : -5.89473684211 
Real value : 1.7209879982216236e-06
