Distance entre avions : 8.0 
Nombre de simulations : 100000 
Prob IS: 1.93019378065e-08 ; Error : 3.42507745491e-09 ; mu : -6.73684210526 
Prob IS: 2.15155731815e-08 ; Error : 5.89199305205e-09 ; mu : -6.31578947368 
Prob IS: 2.43954973414e-08 ; Error : 5.22054732083e-09 ; mu : -5.89473684211 
Prob IS: 1.64119743609e-08 ; Error : 2.16983337764e-09 ; mu : -5.89473684211 
Prob IS: 1.26101332818e-08 ; Error : 3.93200034958e-09 ; mu : -3.36842105263 
Prob IS: 1.67628388548e-08 ; Error : 3.10844262414e-09 ; mu : -8.0 
Prob IS: 1.9501616846e-08 ; Error : 3.91375645805e-09 ; mu : -7.15789473684 
Prob IS: 1.93491084156e-08 ; Error : 4.74080718451e-09 ; mu : -7.15789473684 
Prob IS: 2.35011745933e-08 ; Error : 5.22999936668e-09 ; mu : -6.31578947368 
Prob IS: 2.01601374854e-08 ; Error : 3.75812507501e-09 ; mu : -6.31578947368 
Prob IS: 1.83689695912e-08 ; Error : 2.54199834304e-09 ; mu : -5.47368421053 
Prob IS: 1.58946023077e-08 ; Error : 4.27780355252e-09 ; mu : -3.78947368421 
Prob IS: 2.28919291931e-08 ; Error : 5.85350709197e-09 ; mu : -6.73684210526 
Prob IS: 1.83060525791e-08 ; Error : 2.62934494527e-09 ; mu : -6.73684210526 
Prob IS: 2.13512320231e-08 ; Error : 3.7113367954e-09 ; mu : -5.47368421053 
Prob IS: 2.81247765144e-08 ; Error : 9.22730105351e-09 ; mu : -6.31578947368 
Prob IS: 1.67853287315e-08 ; Error : 3.25983078274e-09 ; mu : -8.0 
Prob IS: 1.1913125762e-08 ; Error : 5.3333925743e-09 ; mu : -2.94736842105 
Prob IS: 2.06131021908e-08 ; Error : 5.56515022382e-09 ; mu : -8.0 
Prob IS: 2.15449496719e-08 ; Error : 4.06172445578e-09 ; mu : -5.89473684211 
Prob IS: 1.97861214684e-08 ; Error : 3.24856401058e-09 ; mu : -6.73684210526 
Prob IS: 1.65836376172e-08 ; Error : 2.16754440957e-09 ; mu : -6.31578947368 
Prob IS: 1.79444378716e-08 ; Error : 2.74305475505e-09 ; mu : -7.15789473684 
Real value : 2.297941414930449e-08
