Distance entre avions : 7.0 
Nombre de simulations : 100000 
Prob IS: 7.61352745571e-141 ; Error : 1.24382437149e-140 ; mu : -7.0 
Prob IS: 1.51637909091e-148 ; Error : 1.71397086988e-148 ; mu : -7.0 
Prob IS: 8.06325723304e-146 ; Error : 1.18501311926e-145 ; mu : -7.0 
Prob IS: 4.58723533507e-142 ; Error : 8.98917700505e-142 ; mu : -7.0 
Prob IS: 4.11671062871e-143 ; Error : 6.9306611933e-143 ; mu : -7.0 
Prob IS: 2.16863077498e-142 ; Error : 4.24846196795e-142 ; mu : -7.0 
Prob IS: 1.01200277946e-142 ; Error : 1.96273555689e-142 ; mu : -7.0 
Prob IS: 4.57759186363e-140 ; Error : 8.97196264872e-140 ; mu : -7.0 
Prob IS: 9.37991169791e-147 ; Error : 1.53818090251e-146 ; mu : -7.0 
Prob IS: 9.0506154392e-139 ; Error : 1.73758641715e-138 ; mu : -7.0 
Prob IS: 1.89151079167e-135 ; Error : 3.70732407787e-135 ; mu : -7.0 
Prob IS: 4.52863951404e-144 ; Error : 8.87428942986e-144 ; mu : -7.0 
Prob IS: 3.02744687893e-145 ; Error : 3.45732030652e-145 ; mu : -7.0 
Prob IS: 1.16459686619e-144 ; Error : 1.8458941675e-144 ; mu : -7.0 
Prob IS: 7.63092400336e-142 ; Error : 1.4954971255e-141 ; mu : -7.0 
Prob IS: 6.35884460398e-144 ; Error : 1.24314359406e-143 ; mu : -7.0 
Prob IS: 2.2070788981e-144 ; Error : 4.22944900051e-144 ; mu : -7.0 
Prob IS: 1.00653102716e-144 ; Error : 1.50247465693e-144 ; mu : -7.0 
Prob IS: 6.68389197423e-142 ; Error : 1.26745109517e-141 ; mu : -7.0 
Prob IS: 1.14231460001e-141 ; Error : 2.22494386057e-141 ; mu : -7.0 
Prob IS: 1.85558564243e-143 ; Error : 3.52556615604e-143 ; mu : -7.0 
Prob IS: 1.47149766303e-142 ; Error : 1.71876442871e-142 ; mu : -7.0 
Prob IS: 2.36218136989e-140 ; Error : 4.6298286555e-140 ; mu : -7.0 
Real value : 3.2618134442330415e-06
