Distance entre avions : 10.0 
Nombre de simulations : 100000 
Distance, Probability, Error, Relative error, mu 
 
10.0, 1.685E-160, 3.302E-160, 196.00%, 100000, -7.37 
10.0, 2.649E-149, 5.130E-149, 193.66%, 100000, -6.84 
10.0, 2.981E-144, 5.762E-144, 193.28%, 100000, -6.84 
10.0, 2.981E-144, 5.842E-144, 196.00%, 100000, -6.84 
10.0, 1.069E-145, 2.056E-145, 192.30%, 100000, -6.84 
10.0, 2.960E-145, 5.788E-145, 195.55%, 100000, -6.84 
10.0, 7.119E-147, 1.001E-146, 140.57%, 100000, -6.84 
10.0, 6.802E-150, 1.319E-149, 193.89%, 100000, -6.84 
10.0, 3.057E-160, 5.192E-160, 169.86%, 100000, -7.37 
10.0, 1.076E-150, 1.622E-150, 150.75%, 100000, -6.84 
10.0, 7.882E-149, 1.542E-148, 195.59%, 100000, -6.84 
10.0, 2.220E-147, 4.002E-147, 180.25%, 100000, -6.84 
10.0, 6.307E-148, 9.304E-148, 147.53%, 100000, -6.84 
10.0, 2.084E-148, 3.057E-148, 146.70%, 100000, -6.84 
10.0, 3.817E-149, 6.004E-149, 157.28%, 100000, -6.84 
10.0, 1.348E-150, 2.042E-150, 151.49%, 100000, -6.84 
10.0, 1.222E-145, 2.377E-145, 194.48%, 100000, -6.84 
10.0, 2.140E-148, 4.003E-148, 187.08%, 100000, -6.84 
10.0, 4.804E-149, 8.905E-149, 185.37%, 100000, -6.84 
10.0, 1.652E-146, 2.431E-146, 147.12%, 100000, -6.84 
10.0, 3.453E-147, 4.959E-147, 143.61%, 100000, -6.84 
10.0, 1.204E-150, 1.380E-150, 114.61%, 100000, -6.84 
10.0, 5.179E-148, 1.014E-147, 195.85%, 100000, -6.84 
Real value : 1.4303003226245892e-12
