Distance entre avions : 10.0 
Nombre de simulations : 1000 
Distance, Probability, Error, Relative error, mu 
 
10.0, 2.863E-144, 5.341E-144, 186.55%, 1000, -6.32 
10.0, 5.055E-162, 9.893E-162, 195.73%, 1000, -6.84 
10.0, 5.563E-152, 1.089E-151, 195.80%, 1000, -6.84 
10.0, 1.150E-159, 2.234E-159, 194.20%, 1000, -6.84 
10.0, 3.323E-162, 6.484E-162, 195.09%, 1000, -6.84 
10.0, 3.055E-162, 5.966E-162, 195.28%, 1000, -6.84 
10.0, 2.882E-142, 5.524E-142, 191.68%, 1000, -6.32 
10.0, 2.421E-160, 4.740E-160, 195.80%, 1000, -6.84 
10.0, 1.162E-141, 2.276E-141, 195.80%, 1000, -6.32 
10.0, 1.145E-156, 2.242E-156, 195.80%, 1000, -6.84 
10.0, 1.022E-141, 1.651E-141, 161.64%, 1000, -6.32 
10.0, 5.742E-144, 8.903E-144, 155.05%, 1000, -6.32 
10.0, 2.576E-160, 5.026E-160, 195.10%, 1000, -6.84 
10.0, 5.984E-147, 1.168E-146, 195.19%, 1000, -6.32 
10.0, 1.360E-153, 2.662E-153, 195.80%, 1000, -6.84 
10.0, 7.619E-164, 1.378E-163, 180.81%, 1000, -6.84 
10.0, 6.186E-161, 9.012E-161, 145.69%, 1000, -6.84 
10.0, 5.788E-155, 1.133E-154, 195.80%, 1000, -6.84 
10.0, 2.751E-163, 5.155E-163, 187.35%, 1000, -6.84 
10.0, 1.257E-162, 2.370E-162, 188.56%, 1000, -6.84 
10.0, 7.423E-142, 1.453E-141, 195.79%, 1000, -6.32 
10.0, 1.452E-145, 2.779E-145, 191.36%, 1000, -6.32 
10.0, 6.032E-157, 1.181E-156, 195.80%, 1000, -6.84 
Real value : 1.432853835581227e-12
