Distance entre avions : 6.0 
Nombre de simulations : 100000 
Prob IS: 2.02905010506e-12 ; Error : 1.83980871255e-12 ; mu : -5.36842105263 
Prob IS: 1.16580587097e-11 ; Error : 2.26080729183e-11 ; mu : -6.0 
Prob IS: 7.7704109281e-15 ; Error : 7.4519505879e-15 ; mu : -6.0 
Prob IS: 5.17775713178e-14 ; Error : 7.49613381745e-14 ; mu : -5.68421052632 
Prob IS: 2.33287989726e-13 ; Error : 3.29922457087e-13 ; mu : -5.68421052632 
Prob IS: 3.41780695926e-13 ; Error : 6.31415895107e-13 ; mu : -6.0 
Prob IS: 6.15432398778e-15 ; Error : 8.2546707175e-15 ; mu : -6.0 
Prob IS: 3.28595558505e-12 ; Error : 6.23039106617e-12 ; mu : -6.0 
Prob IS: 2.87068501434e-13 ; Error : 3.02264399808e-13 ; mu : -5.68421052632 
Prob IS: 1.32559218918e-14 ; Error : 1.44771963764e-14 ; mu : -6.0 
Prob IS: 1.98860438897e-15 ; Error : 1.99090389702e-15 ; mu : -6.0 
Prob IS: 2.55515796157e-15 ; Error : 2.51349584825e-15 ; mu : -6.0 
Prob IS: 1.52542031116e-13 ; Error : 1.58514268942e-13 ; mu : -6.0 
Prob IS: 2.29811682852e-13 ; Error : 3.43867809464e-13 ; mu : -6.0 
Prob IS: 1.51371586675e-12 ; Error : 2.82254554503e-12 ; mu : -6.0 
Prob IS: 6.93714704859e-14 ; Error : 9.23136183505e-14 ; mu : -6.0 
Prob IS: 1.47627626692e-13 ; Error : 1.65927896639e-13 ; mu : -5.68421052632 
Prob IS: 1.39363768706e-13 ; Error : 2.63271376152e-13 ; mu : -6.0 
Prob IS: 5.05401132994e-15 ; Error : 3.4789783661e-15 ; mu : -6.0 
Prob IS: 2.12742815783e-14 ; Error : 2.19351030353e-14 ; mu : -6.0 
Prob IS: 7.69150452926e-15 ; Error : 1.2294826935e-14 ; mu : -6.0 
Prob IS: 7.98828022033e-13 ; Error : 1.55642236548e-12 ; mu : -6.0 
Prob IS: 1.86827285479e-14 ; Error : 3.39357302268e-14 ; mu : -6.0 
Real value : 0.0001738733551123195
