Distance entre avions : 4.0 
Nombre de simulations : 100000 
Prob IS: 9.77201044692e-06 ; Error : 6.59335524819e-06 ; mu : -4.0 
Prob IS: 0.000144426207248 ; Error : 0.00016834918397 ; mu : -4.0 
Prob IS: 3.49422566646e-05 ; Error : 4.18271712883e-05 ; mu : -4.0 
Prob IS: 0.000146134075357 ; Error : 0.000160046448997 ; mu : -4.0 
Prob IS: 5.32504440406e-05 ; Error : 9.12838960064e-05 ; mu : -4.0 
Prob IS: 7.27021312108e-06 ; Error : 5.22528261969e-06 ; mu : -4.0 
Prob IS: 7.64929743043e-05 ; Error : 7.98909207366e-05 ; mu : -4.0 
Prob IS: 1.21740201933e-05 ; Error : 1.60705093433e-05 ; mu : -4.0 
Prob IS: 5.87381213025e-05 ; Error : 2.89760649954e-05 ; mu : -3.57894736842 
Prob IS: 5.82820047377e-05 ; Error : 3.94376738445e-05 ; mu : -3.78947368421 
Prob IS: 0.000167481028122 ; Error : 0.000214605231803 ; mu : -4.0 
Prob IS: 1.14723457702e-05 ; Error : 1.02363003479e-05 ; mu : -4.0 
Prob IS: 4.3901610058e-05 ; Error : 5.42036528769e-05 ; mu : -4.0 
Prob IS: 2.50333516628e-05 ; Error : 2.26331360069e-05 ; mu : -4.0 
Prob IS: 1.80672750341e-05 ; Error : 1.46383661983e-05 ; mu : -4.0 
Prob IS: 0.000124829965752 ; Error : 0.000177105694705 ; mu : -4.0 
Prob IS: 2.19670574456e-05 ; Error : 2.00522174444e-05 ; mu : -4.0 
Prob IS: 3.84930994223e-05 ; Error : 3.52672128934e-05 ; mu : -3.78947368421 
Prob IS: 2.37787706954e-05 ; Error : 3.66390843601e-05 ; mu : -4.0 
Prob IS: 4.29437310185e-05 ; Error : 3.61983197912e-05 ; mu : -4.0 
Prob IS: 5.17336437433e-06 ; Error : 3.04834038994e-06 ; mu : -4.0 
Prob IS: 2.52366523499e-05 ; Error : 2.30667455281e-05 ; mu : -4.0 
Prob IS: 9.93714512142e-06 ; Error : 1.08024057743e-05 ; mu : -4.0 
Real value : 0.02030996488425707
