Distance entre avions : 2.0 
Nombre de simulations : 100000 
Prob IS: 0.397192149124 ; Error : 0.00111079314158 ; mu : -0.526315789474 
Prob IS: 0.398259798302 ; Error : 0.0010802425372 ; mu : -0.526315789474 
Prob IS: 0.400182334618 ; Error : 0.00104926754711 ; mu : -0.526315789474 
Prob IS: 0.397550816846 ; Error : 0.00111224340207 ; mu : -0.526315789474 
Prob IS: 0.397054163658 ; Error : 0.00110186587743 ; mu : -0.526315789474 
Prob IS: 0.397861447025 ; Error : 0.00109605742791 ; mu : -0.526315789474 
Prob IS: 0.398295820595 ; Error : 0.00109991169011 ; mu : -0.526315789474 
Prob IS: 0.398499594111 ; Error : 0.00109846055091 ; mu : -0.526315789474 
Prob IS: 0.397142237291 ; Error : 0.00108685966452 ; mu : -0.526315789474 
Prob IS: 0.399968772703 ; Error : 0.00105072106011 ; mu : -0.526315789474 
Prob IS: 0.398339694473 ; Error : 0.00107927523186 ; mu : -0.526315789474 
Prob IS: 0.399031231775 ; Error : 0.00107354669284 ; mu : -0.526315789474 
Prob IS: 0.397606827879 ; Error : 0.00110101659365 ; mu : -0.526315789474 
Prob IS: 0.39668704248 ; Error : 0.00111057460581 ; mu : -0.526315789474 
Prob IS: 0.397565221617 ; Error : 0.00109540603093 ; mu : -0.526315789474 
Prob IS: 0.399779519307 ; Error : 0.00106362055386 ; mu : -0.526315789474 
Prob IS: 0.397738827486 ; Error : 0.00110465157883 ; mu : -0.526315789474 
Prob IS: 0.399152012169 ; Error : 0.00106229170437 ; mu : -0.526315789474 
Prob IS: 0.400037851193 ; Error : 0.0010587612039 ; mu : -0.526315789474 
Prob IS: 0.399906332879 ; Error : 0.00107392459022 ; mu : -0.526315789474 
Prob IS: 0.395965300087 ; Error : 0.00111300958665 ; mu : -0.526315789474 
Prob IS: 0.397109096735 ; Error : 0.00111675318135 ; mu : -0.526315789474 
Prob IS: 0.398732908145 ; Error : 0.00107870858228 ; mu : -0.526315789474 
Real value : 0.3969973294835206
