Distance entre avions : 4.0 
Nombre de simulations : 100000 
Prob IS: 1.07513151319e-38 ; Error : 1.66201840391e-38 ; mu : -4.0 
Prob IS: 8.05529833586e-38 ; Error : 1.44203850766e-37 ; mu : -4.0 
Prob IS: 7.25640243844e-38 ; Error : 9.56838823091e-38 ; mu : -4.0 
Prob IS: 5.8109970089e-36 ; Error : 1.03840061146e-35 ; mu : -4.0 
Prob IS: 1.04641990793e-38 ; Error : 1.83155045225e-38 ; mu : -4.0 
Prob IS: 1.003202127e-35 ; Error : 1.96600962627e-35 ; mu : -4.0 
Prob IS: 2.03198184422e-38 ; Error : 2.41074628049e-38 ; mu : -4.0 
Prob IS: 1.4371477692e-37 ; Error : 1.6852355022e-37 ; mu : -4.0 
Prob IS: 5.51310353365e-35 ; Error : 1.08014514636e-34 ; mu : -4.0 
Prob IS: 3.59348147571e-36 ; Error : 4.98129225359e-36 ; mu : -4.0 
Prob IS: 4.40498005039e-32 ; Error : 8.61149475051e-32 ; mu : -4.0 
Prob IS: 3.05813583771e-37 ; Error : 5.64196369287e-37 ; mu : -4.0 
Prob IS: 5.61135917437e-33 ; Error : 1.08126636515e-32 ; mu : -4.0 
Prob IS: 2.0941063865e-39 ; Error : 1.85345491421e-39 ; mu : -4.0 
Prob IS: 1.21742765245e-36 ; Error : 2.23187464709e-36 ; mu : -4.0 
Prob IS: 2.25295907409e-34 ; Error : 3.8411621776e-34 ; mu : -4.0 
Prob IS: 6.40762682188e-37 ; Error : 1.03365097644e-36 ; mu : -4.0 
Prob IS: 2.56301224944e-39 ; Error : 2.58771089513e-39 ; mu : -4.0 
Prob IS: 1.05929876302e-36 ; Error : 2.07549002095e-36 ; mu : -4.0 
Prob IS: 4.8192712496e-30 ; Error : 8.98375498024e-30 ; mu : -4.0 
Prob IS: 6.66520290956e-36 ; Error : 1.01347085898e-35 ; mu : -4.0 
Prob IS: 4.35136606797e-36 ; Error : 6.05103980395e-36 ; mu : -4.0 
Prob IS: 8.70446235698e-38 ; Error : 1.03621352812e-37 ; mu : -4.0 
Real value : 0.020144444891474378
