Distance entre avions : 2.0 
Probability MC, Error, Rel. Error, N 
0.43, 9.70E-02, 2.26E+01, 100 
0.38, 9.51E-02, 2.50E+01, 100 
0.3, 8.98E-02, 2.99E+01, 100 
0.37, 9.46E-02, 2.56E+01, 100 
0.34, 9.28E-02, 2.73E+01, 100 
0.31, 9.06E-02, 2.92E+01, 100 
0.46, 9.77E-02, 2.12E+01, 100 
0.42, 9.67E-02, 2.30E+01, 100 
0.39, 9.56E-02, 2.45E+01, 100 
0.37, 9.46E-02, 2.56E+01, 100 
0.36, 9.41E-02, 2.61E+01, 100 
0.49, 9.80E-02, 2.00E+01, 100 
0.35, 9.35E-02, 2.67E+01, 100 
0.41, 9.64E-02, 2.35E+01, 100 
0.41, 9.64E-02, 2.35E+01, 100 
0.45, 9.75E-02, 2.17E+01, 100 
0.42, 9.67E-02, 2.30E+01, 100 
0.4, 9.60E-02, 2.40E+01, 100 
0.36, 9.41E-02, 2.61E+01, 100 
0.44, 9.73E-02, 2.21E+01, 100 
0.393, 3.03E-02, 7.70E+00, 1000 
0.401, 3.04E-02, 7.58E+00, 1000 
0.426, 3.06E-02, 7.19E+00, 1000 
0.395, 3.03E-02, 7.67E+00, 1000 
0.385, 3.02E-02, 7.83E+00, 1000 
0.406, 3.04E-02, 7.50E+00, 1000 
0.399, 3.04E-02, 7.61E+00, 1000 
0.355, 2.97E-02, 8.35E+00, 1000 
0.384, 3.01E-02, 7.85E+00, 1000 
0.404, 3.04E-02, 7.53E+00, 1000 
0.407, 3.04E-02, 7.48E+00, 1000 
0.38, 3.01E-02, 7.92E+00, 1000 
0.404, 3.04E-02, 7.53E+00, 1000 
0.396, 3.03E-02, 7.65E+00, 1000 
0.396, 3.03E-02, 7.65E+00, 1000 
0.413, 3.05E-02, 7.39E+00, 1000 
0.433, 3.07E-02, 7.09E+00, 1000 
0.382, 3.01E-02, 7.88E+00, 1000 
0.401, 3.04E-02, 7.58E+00, 1000 
0.404, 3.04E-02, 7.53E+00, 1000 
0.3975, 3.03E-03, 7.63E-01, 100000 
0.39739, 3.03E-03, 7.63E-01, 100000 
0.39779, 3.03E-03, 7.63E-01, 100000 
0.39701, 3.03E-03, 7.64E-01, 100000 
0.40065, 3.04E-03, 7.58E-01, 100000 
0.39686, 3.03E-03, 7.64E-01, 100000 
0.39774, 3.03E-03, 7.63E-01, 100000 
0.3971, 3.03E-03, 7.64E-01, 100000 
0.39661, 3.03E-03, 7.64E-01, 100000 
0.39352, 3.03E-03, 7.69E-01, 100000 
0.39816, 3.03E-03, 7.62E-01, 100000 
0.39731, 3.03E-03, 7.63E-01, 100000 
0.40093, 3.04E-03, 7.58E-01, 100000 
0.39534, 3.03E-03, 7.67E-01, 100000 
0.39893, 3.04E-03, 7.61E-01, 100000 
0.39637, 3.03E-03, 7.65E-01, 100000 
0.39711, 3.03E-03, 7.64E-01, 100000 
0.3985, 3.03E-03, 7.61E-01, 100000 
0.3984, 3.03E-03, 7.62E-01, 100000 
0.40024, 3.04E-03, 7.59E-01, 100000 
Real value : 0.398785655273847
