Distance entre avions : 5.0 
Nombre de simulations : 100000 
Prob IS: 0.00204855916912 ; Error : 0.00014698922244 ; mu : -1.31578947368 
Prob IS: 0.00191189141492 ; Error : 0.000124191282949 ; mu : -1.84210526316 
Prob IS: 0.00188909018114 ; Error : 0.000119070029599 ; mu : -2.63157894737 
Prob IS: 0.00186579588661 ; Error : 0.000106971596417 ; mu : -2.10526315789 
Prob IS: 0.00156692940073 ; Error : 0.000100337602957 ; mu : -4.47368421053 
Prob IS: 0.00163781612308 ; Error : 0.000123836649727 ; mu : -4.73684210526 
Prob IS: 0.0020496428276 ; Error : 0.000128231594761 ; mu : -1.84210526316 
Prob IS: 0.00191826740867 ; Error : 0.000146163761568 ; mu : -1.31578947368 
Prob IS: 0.00185709186072 ; Error : 0.000110208658458 ; mu : -2.63157894737 
Prob IS: 0.00189502494114 ; Error : 0.000124323646241 ; mu : -1.84210526316 
Prob IS: 0.00185841449783 ; Error : 0.000114443008515 ; mu : -2.63157894737 
Prob IS: 0.00219800860659 ; Error : 0.000180692335526 ; mu : -1.05263157895 
Prob IS: 0.00178151016052 ; Error : 0.000110960730899 ; mu : -3.42105263158 
Prob IS: 0.0019170183803 ; Error : 0.000125901619554 ; mu : -2.63157894737 
Prob IS: 0.00198431980715 ; Error : 0.000146887113985 ; mu : -1.05263157895 
Prob IS: 0.00190637850402 ; Error : 0.000110612469499 ; mu : -2.63157894737 
Prob IS: 0.00195091013328 ; Error : 0.000124802491208 ; mu : -1.84210526316 
Prob IS: 0.00191023488609 ; Error : 0.000113783218364 ; mu : -2.36842105263 
Prob IS: 0.00200770396491 ; Error : 0.000136266424395 ; mu : -2.10526315789 
Prob IS: 0.00193080496021 ; Error : 0.000126462670956 ; mu : -2.89473684211 
Prob IS: 0.00199208080057 ; Error : 0.000126156247516 ; mu : -1.84210526316 
Prob IS: 0.00188350440665 ; Error : 0.000115278907758 ; mu : -1.84210526316 
Prob IS: 0.0019483102414 ; Error : 0.000133497853905 ; mu : -1.84210526316 
Real value : 0.0021192955769241406
