Distance entre avions : 5.0 
Nombre de simulations : 100000 
Prob IS: 4.23653427243e-63 ; Error : 8.27321327497e-63 ; mu : -5.0 
Prob IS: 5.12598972105e-61 ; Error : 1.00418977927e-60 ; mu : -5.0 
Prob IS: 9.62173850871e-65 ; Error : 1.7642793762e-64 ; mu : -5.0 
Prob IS: 3.90091908054e-57 ; Error : 6.55655365911e-57 ; mu : -5.0 
Prob IS: 6.74142035134e-62 ; Error : 1.32071325181e-61 ; mu : -5.0 
Prob IS: 7.85737838247e-61 ; Error : 1.53977829219e-60 ; mu : -5.0 
Prob IS: 1.56311490374e-63 ; Error : 2.77161717527e-63 ; mu : -5.0 
Prob IS: 8.15544385568e-65 ; Error : 9.34050035337e-65 ; mu : -5.0 
Prob IS: 3.9635891812e-64 ; Error : 7.76282253898e-64 ; mu : -5.0 
Prob IS: 9.2837403959e-64 ; Error : 1.81182172148e-63 ; mu : -5.0 
Prob IS: 2.85968182142e-63 ; Error : 5.57427879901e-63 ; mu : -5.0 
Prob IS: 3.75560266823e-63 ; Error : 7.31116393656e-63 ; mu : -5.0 
Prob IS: 1.58133345492e-65 ; Error : 2.7152972169e-65 ; mu : -5.0 
Prob IS: 5.03582460526e-64 ; Error : 9.81333747176e-64 ; mu : -5.0 
Prob IS: 1.79565673981e-65 ; Error : 3.13588908882e-65 ; mu : -5.0 
Prob IS: 1.66365017771e-58 ; Error : 3.26072169386e-58 ; mu : -5.0 
Prob IS: 2.31005369194e-64 ; Error : 3.44252025821e-64 ; mu : -5.0 
Prob IS: 6.35651825075e-64 ; Error : 1.24166757397e-63 ; mu : -5.0 
Prob IS: 1.52211153685e-63 ; Error : 2.96409733699e-63 ; mu : -5.0 
Prob IS: 4.33526763833e-65 ; Error : 8.44898705039e-65 ; mu : -5.0 
Prob IS: 3.29059379428e-67 ; Error : 4.94657879368e-67 ; mu : -5.0 
Prob IS: 2.4348926096e-63 ; Error : 4.73074227594e-63 ; mu : -5.0 
Prob IS: 1.1208645885e-65 ; Error : 2.1785933806e-65 ; mu : -5.0 
Real value : 0.0020794607496633644
