Distance entre avions : 9.0 
Nombre de simulations : 100000 
Prob IS: 7.34893444036e-37 ; Error : 1.20772607731e-36 ; mu : -9.0 
Prob IS: 1.4539486428e-36 ; Error : 2.84906122509e-36 ; mu : -9.0 
Prob IS: 2.21043355962e-38 ; Error : 3.73195959383e-38 ; mu : -9.0 
Prob IS: 6.77800765182e-40 ; Error : 9.26823421214e-40 ; mu : -9.0 
Prob IS: 1.35870858759e-38 ; Error : 2.21110515024e-38 ; mu : -9.0 
Prob IS: 4.92204247958e-36 ; Error : 8.18166565089e-36 ; mu : -9.0 
Prob IS: 1.65964889641e-38 ; Error : 3.15246075539e-38 ; mu : -9.0 
Prob IS: 1.76574392662e-34 ; Error : 2.78091864134e-34 ; mu : -8.52631578947 
Prob IS: 6.27613164088e-39 ; Error : 6.29275194993e-39 ; mu : -9.0 
Prob IS: 1.93572945458e-39 ; Error : 1.93485478467e-39 ; mu : -9.0 
Prob IS: 5.59695437854e-37 ; Error : 1.01038173267e-36 ; mu : -9.0 
Prob IS: 9.72475358412e-38 ; Error : 1.80765190497e-37 ; mu : -9.0 
Prob IS: 1.11984782039e-37 ; Error : 1.56273300336e-37 ; mu : -9.0 
Prob IS: 2.65142082755e-37 ; Error : 4.95007677796e-37 ; mu : -9.0 
Prob IS: 1.17856065833e-35 ; Error : 1.95053291555e-35 ; mu : -9.0 
Prob IS: 1.13302609252e-38 ; Error : 1.80960892025e-38 ; mu : -9.0 
Prob IS: 1.44987223884e-37 ; Error : 1.54104842699e-37 ; mu : -9.0 
Prob IS: 3.58575939418e-40 ; Error : 4.35261547949e-40 ; mu : -9.0 
Prob IS: 1.21474316795e-35 ; Error : 2.21485290797e-35 ; mu : -8.52631578947 
Prob IS: 1.44329072315e-35 ; Error : 2.67716923653e-35 ; mu : -9.0 
Prob IS: 2.58886336148e-38 ; Error : 3.84145061262e-38 ; mu : -9.0 
Prob IS: 2.22829041495e-39 ; Error : 2.76785774602e-39 ; mu : -9.0 
Prob IS: 1.55077974809e-39 ; Error : 2.78961372494e-39 ; mu : -9.0 
Real value : 2.4993751512880635e-10
