Distance entre avions : 1.0 
Probability MC, Error, Rel. Error, N 
0.8, 7.84E-02, 9.80E+00, 100 
0.8, 7.84E-02, 9.80E+00, 100 
0.75, 8.49E-02, 1.13E+01, 100 
0.79, 7.98E-02, 1.01E+01, 100 
0.78, 8.12E-02, 1.04E+01, 100 
0.72, 8.80E-02, 1.22E+01, 100 
0.79, 7.98E-02, 1.01E+01, 100 
0.84, 7.19E-02, 8.55E+00, 100 
0.82, 7.53E-02, 9.18E+00, 100 
0.79, 7.98E-02, 1.01E+01, 100 
0.78, 8.12E-02, 1.04E+01, 100 
0.71, 8.89E-02, 1.25E+01, 100 
0.82, 7.53E-02, 9.18E+00, 100 
0.85, 7.00E-02, 8.23E+00, 100 
0.82, 7.53E-02, 9.18E+00, 100 
0.82, 7.53E-02, 9.18E+00, 100 
0.77, 8.25E-02, 1.07E+01, 100 
0.73, 8.70E-02, 1.19E+01, 100 
0.76, 8.37E-02, 1.10E+01, 100 
0.83, 7.36E-02, 8.87E+00, 100 
0.771, 2.60E-02, 3.38E+00, 1000 
0.77, 2.61E-02, 3.39E+00, 1000 
0.767, 2.62E-02, 3.42E+00, 1000 
0.764, 2.63E-02, 3.44E+00, 1000 
0.79, 2.52E-02, 3.20E+00, 1000 
0.769, 2.61E-02, 3.40E+00, 1000 
0.778, 2.58E-02, 3.31E+00, 1000 
0.761, 2.64E-02, 3.47E+00, 1000 
0.771, 2.60E-02, 3.38E+00, 1000 
0.767, 2.62E-02, 3.42E+00, 1000 
0.803, 2.47E-02, 3.07E+00, 1000 
0.778, 2.58E-02, 3.31E+00, 1000 
0.76, 2.65E-02, 3.48E+00, 1000 
0.786, 2.54E-02, 3.23E+00, 1000 
0.77, 2.61E-02, 3.39E+00, 1000 
0.794, 2.51E-02, 3.16E+00, 1000 
0.759, 2.65E-02, 3.49E+00, 1000 
0.772, 2.60E-02, 3.37E+00, 1000 
0.764, 2.63E-02, 3.44E+00, 1000 
0.789, 2.53E-02, 3.21E+00, 1000 
0.77813, 2.58E-03, 3.31E-01, 100000 
0.7769, 2.58E-03, 3.32E-01, 100000 
0.77526, 2.59E-03, 3.34E-01, 100000 
0.77667, 2.58E-03, 3.32E-01, 100000 
0.77539, 2.59E-03, 3.34E-01, 100000 
0.77735, 2.58E-03, 3.32E-01, 100000 
0.77769, 2.58E-03, 3.31E-01, 100000 
0.77593, 2.58E-03, 3.33E-01, 100000 
0.7767, 2.58E-03, 3.32E-01, 100000 
0.77782, 2.58E-03, 3.31E-01, 100000 
0.77611, 2.58E-03, 3.33E-01, 100000 
0.77661, 2.58E-03, 3.32E-01, 100000 
0.77606, 2.58E-03, 3.33E-01, 100000 
0.7776, 2.58E-03, 3.31E-01, 100000 
0.77333, 2.59E-03, 3.36E-01, 100000 
0.77704, 2.58E-03, 3.32E-01, 100000 
0.77452, 2.59E-03, 3.34E-01, 100000 
0.77753, 2.58E-03, 3.32E-01, 100000 
0.77797, 2.58E-03, 3.31E-01, 100000 
0.77646, 2.58E-03, 3.33E-01, 100000 
Real value : 0.776763395749777
