Distance entre avions : 3.0 
Nombre de simulations : 100000 
Prob IS: 1.45918057087e-18 ; Error : 1.28176663097e-18 ; mu : -3.0 
Prob IS: 7.53847375713e-17 ; Error : 1.21199754204e-16 ; mu : -3.0 
Prob IS: 1.82594677343e-17 ; Error : 2.89097094947e-17 ; mu : -3.0 
Prob IS: 8.60657520798e-17 ; Error : 1.62244640089e-16 ; mu : -3.0 
Prob IS: 5.44166063119e-17 ; Error : 8.08762619716e-17 ; mu : -3.0 
Prob IS: 2.6496944062e-16 ; Error : 3.27974474767e-16 ; mu : -3.0 
Prob IS: 7.83721712637e-16 ; Error : 1.52213454027e-15 ; mu : -3.0 
Prob IS: 7.49991518435e-17 ; Error : 1.29091663394e-16 ; mu : -3.0 
Prob IS: 2.5122000859e-17 ; Error : 4.49188966659e-17 ; mu : -3.0 
Prob IS: 1.31362097255e-19 ; Error : 1.46387502442e-19 ; mu : -3.0 
Prob IS: 4.88953125194e-19 ; Error : 4.35851423374e-19 ; mu : -3.0 
Prob IS: 6.54008929642e-16 ; Error : 1.26345890017e-15 ; mu : -3.0 
Prob IS: 1.80421317817e-18 ; Error : 1.95677257304e-18 ; mu : -3.0 
Prob IS: 3.11336027497e-19 ; Error : 3.13932900525e-19 ; mu : -3.0 
Prob IS: 2.22411597809e-16 ; Error : 4.31939416821e-16 ; mu : -3.0 
Prob IS: 4.58919694092e-16 ; Error : 8.98964905403e-16 ; mu : -3.0 
Prob IS: 3.13346744656e-17 ; Error : 5.40835584892e-17 ; mu : -3.0 
Prob IS: 2.08094094712e-16 ; Error : 2.19478560956e-16 ; mu : -3.0 
Prob IS: 1.10019635426e-16 ; Error : 1.74310440623e-16 ; mu : -3.0 
Prob IS: 1.80181580673e-14 ; Error : 2.50087953885e-14 ; mu : -3.0 
Prob IS: 1.06585965391e-17 ; Error : 1.10618610458e-17 ; mu : -3.0 
Prob IS: 6.57403841623e-14 ; Error : 1.28552736041e-13 ; mu : -3.0 
Prob IS: 4.49216850753e-16 ; Error : 6.11176605087e-16 ; mu : -2.84210526316 
Real value : 0.1186626104625147
