Distance entre avions : 9.0 
Nombre de simulations : 100000 
Prob IS: 4.09626269321e-10 ; Error : 7.69076214398e-11 ; mu : -8.52631578947 
Prob IS: 4.15952375024e-10 ; Error : 1.19902451382e-10 ; mu : -4.73684210526 
Prob IS: 5.22094572601e-10 ; Error : 1.0915363292e-10 ; mu : -8.05263157895 
Prob IS: 4.07830355608e-10 ; Error : 6.41692440619e-11 ; mu : -6.63157894737 
Prob IS: 4.88515831795e-10 ; Error : 1.40764319785e-10 ; mu : -7.57894736842 
Prob IS: 3.96562979468e-10 ; Error : 5.96887805238e-11 ; mu : -8.05263157895 
Prob IS: 4.45038609016e-10 ; Error : 6.46294052226e-11 ; mu : -7.10526315789 
Prob IS: 4.26421842162e-10 ; Error : 1.04043615152e-10 ; mu : -5.21052631579 
Prob IS: 1.00757603665e-10 ; Error : 8.68880840429e-11 ; mu : -3.31578947368 
Prob IS: 6.17686361275e-10 ; Error : 1.5676242528e-10 ; mu : -6.63157894737 
Prob IS: 5.94789184506e-11 ; Error : 6.73334140732e-11 ; mu : -3.31578947368 
Prob IS: 4.05554232146e-10 ; Error : 7.27366933624e-11 ; mu : -9.0 
Prob IS: 4.39517518926e-10 ; Error : 1.5040701174e-10 ; mu : -9.0 
Prob IS: 4.15312266367e-10 ; Error : 7.12420621445e-11 ; mu : -8.52631578947 
Prob IS: 1.40909224833e-10 ; Error : 1.19847893456e-10 ; mu : -3.31578947368 
Prob IS: 4.65660008057e-10 ; Error : 1.05721777099e-10 ; mu : -9.0 
Prob IS: 4.29146688206e-10 ; Error : 8.2391421198e-11 ; mu : -7.57894736842 
Prob IS: 5.0294970506e-10 ; Error : 9.25887111207e-11 ; mu : -6.63157894737 
Prob IS: 4.52087034754e-10 ; Error : 7.48723317823e-11 ; mu : -6.63157894737 
Prob IS: 4.66684827749e-10 ; Error : 9.71361859619e-11 ; mu : -6.15789473684 
Prob IS: 5.10800745633e-10 ; Error : 1.03758803403e-10 ; mu : -8.05263157895 
Prob IS: 4.40226449921e-10 ; Error : 1.09801952327e-10 ; mu : -9.0 
Prob IS: 3.65902102178e-10 ; Error : 1.50366122269e-10 ; mu : -4.26315789474 
Real value : 2.4769508666366846e-10
